"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",115.800003,116.330002,114.760002,116.150002,28781900,112.140007
"2",115.849998,116.510002,115.75,116.019997,21118100,112.014503
"3",115.919998,116.860001,115.809998,116.610001,22193600,112.584129
"4",116.779999,118.160004,116.470001,117.910004,31751900,113.839249
"5",117.949997,119.43,117.940002,118.989998,33561900,114.88195
"6",118.769997,119.379997,118.300003,119.110001,24462100,114.997818
"7",118.739998,119.93,118.599998,119.75,27588600,115.615723
"8",118.900002,119.300003,118.209999,119.25,27086200,115.132988
"9",119.110001,119.620003,118.809998,119.040001,26111900,114.930237
"10",118.339996,120.239998,118.220001,120,34439800,115.857086
"11",120,120.5,119.709999,119.989998,23713000,115.847435
"12",119.400002,120.089996,119.370003,119.779999,25597300,115.644691
"13",120.449997,120.449997,119.730003,120,32597900,115.857086
"14",120,120.809998,119.769997,120.080002,22050200,115.934326
"15",119.550003,120.099998,119.5,119.970001,23211000,115.828125
"16",120.419998,122.099998,120.279999,121.879997,32377600,117.672188
"17",121.669998,122.440002,121.599998,121.940002,26337600,117.730118
"18",122.139999,122.349998,121.599998,121.949997,20562900,117.739769
"19",120.93,121.629997,120.660004,121.629997,30377500,117.430817
"20",121.150002,121.389999,120.620003,121.349998,49201000,117.160492
"21",127.029999,130.490005,127.010002,128.75,111985000,124.305
"22",127.980003,129.389999,127.779999,128.529999,33710400,124.092606
"23",128.309998,129.190002,128.160004,129.080002,24507300,124.623619
"24",129.130005,130.5,128.899994,130.289993,26845900,125.79184
"25",130.539993,132.089996,130.449997,131.529999,38183800,126.989029
"26",131.350006,132.220001,131.220001,132.039993,23004100,127.481415
"27",131.649994,132.449997,131.119995,132.419998,28349900,128.402603
"28",132.460007,132.940002,132.050003,132.119995,20065500,128.11171
"29",133.080002,133.820007,132.75,133.289993,23035400,129.246201
"30",133.470001,135.089996,133.25,135.020004,33226200,130.923721
"31",135.520004,136.270004,134.619995,135.509995,35623100,131.398834
"32",135.669998,135.899994,134.839996,135.350006,22584600,131.243729
"33",135.100006,135.830002,135.100006,135.720001,22198200,131.602493
"34",136.229996,136.75,135.979996,136.699997,24507200,132.55275
"35",136.429993,137.119995,136.110001,137.110001,20836900,132.950317
"36",137.380005,137.479996,136.300003,136.529999,20788200,132.387909
"37",135.910004,136.660004,135.279999,136.660004,21776600,132.513962
"38",137.139999,137.440002,136.279999,136.929993,20257400,132.775772
"39",137.080002,137.440002,136.699997,136.990005,23482900,132.833969
"40",137.889999,140.149994,137.600006,139.789993,36414600,135.548996
"41",140,140.279999,138.759995,138.960007,26211000,134.744186
"42",138.779999,139.830002,138.589996,139.779999,21108100,135.539307
"43",139.369995,139.770004,138.600006,139.339996,21750000,135.112656
"44",139.059998,139.979996,138.789993,139.520004,17446300,135.287201
"45",138.949997,139.800003,138.820007,139,18707200,134.782974
"46",138.740005,138.789993,137.050003,138.679993,22155900,134.472672
"47",139.25,139.360001,138.639999,139.139999,19612800,134.918732
"48",138.850006,139.429993,138.820007,139.199997,17421700,134.976898
"49",139.300003,139.649994,138.839996,138.990005,15309100,134.773285
"50",139.410004,140.75,139.029999,140.460007,25691800,136.198685
"51",140.720001,141.020004,140.259995,140.690002,19232000,136.421692
"52",141,141,139.889999,139.990005,43885000,135.74295
"53",140.399994,141.5,140.229996,141.460007,21542000,137.168365
"54",142.110001,142.800003,139.729996,139.839996,39529900,135.597504
"55",139.850006,141.600006,139.759995,141.419998,25860200,137.129562
"56",141.259995,141.580002,140.610001,140.919998,20346300,136.644714
"57",141.5,141.740005,140.350006,140.639999,22395600,136.37323
"58",139.389999,141.220001,138.619995,140.880005,23575100,136.605957
"59",140.910004,144.039993,140.619995,143.800003,33374800,139.437347
"60",143.679993,144.490005,143.190002,144.119995,29190000,139.74765
"61",144.190002,144.5,143.5,143.929993,21207300,139.563416
"62",143.720001,144.270004,143.009995,143.660004,19661700,139.301605
"63",143.710007,144.119995,143.050003,143.699997,19985700,139.340393
"64",143.25,144.889999,143.169998,144.770004,19891400,140.37793
"65",144.220001,145.460007,143.809998,144.020004,27717900,139.650681
"66",144.289993,144.520004,143.449997,143.660004,21149000,139.301605
"67",143.729996,144.179993,143.270004,143.339996,16672200,138.991318
"68",143.600006,143.880005,142.899994,143.169998,18933400,138.826462
"69",142.940002,143.350006,140.059998,141.630005,30379400,137.333206
"70",141.600006,142.149994,141.009995,141.800003,20350000,137.498032
"71",141.910004,142.380005,141.050003,141.050003,17822900,136.770782
"72",141.479996,141.880005,140.869995,141.830002,16582100,137.52713
"73",141.410004,142.039993,141.110001,141.199997,14697500,136.916229
"74",141.880005,142,140.449997,140.679993,17328400,136.412003
"75",141.220001,142.919998,141.160004,142.440002,23319600,138.118622
"76",142.440002,142.679993,141.850006,142.270004,17320900,137.953781
"77",143.5,143.949997,143.179993,143.639999,17134300,139.282196
"78",143.910004,144.899994,143.869995,144.529999,18871500,140.145187
"79",144.470001,144.600006,143.380005,143.679993,20041200,139.320984
"80",143.919998,144.160004,143.309998,143.789993,14246300,139.427643
"81",144.089996,144.300003,143.270004,143.649994,20860400,139.291885
"82",145.100006,147.199997,144.960007,146.580002,33602900,142.132996
"83",147.539993,148.089996,146.839996,147.509995,45352200,143.034805
"84",145.589996,147.490005,144.270004,147.059998,45697000,142.59845
"85",146.520004,147.139999,145.809998,146.529999,23371900,142.084518
"86",146.759995,148.979996,146.759995,148.960007,27327700,144.440811
"87",149.029999,153.699997,149.029999,153.009995,48752400,148.36792
"88",153.869995,154.880005,153.449997,153.990005,39130400,149.318192
"89",153.630005,153.940002,152.110001,153.259995,25805700,148.610352
"90",152.449997,154.070007,152.309998,153.949997,27255100,149.895569
"91",154.699997,156.419998,154.669998,156.100006,32527000,151.988968
"92",156.009995,156.649994,155.050003,155.699997,26009700,151.599518
"93",155.940002,156.059998,154.720001,155.470001,20048500,151.375549
