name,id,pinyin
浦发银行,600000,pǔ fā yín háng
白云机场,600004,bái yún jī chánɡ
武钢股份,600005,wǔ ɡānɡ ɡǔ bīn
东风汽车,600006,dōnɡ fēnɡ ɡài chē
中国国贸,600007,zhōnɡ ɡuó ɡuó mào
首创股份,600008,shǒu chuānɡ ɡǔ bīn
上海机场,600009,shǎnɡ hǎi jī chánɡ
包钢股份,600010,bāo ɡānɡ ɡǔ bīn
华能国际,600011,huá nái ɡuó jì
皖通高速,600012,huàn tōng ɡāo sù
华夏银行,600015,huá jiǎ yín háng
民生银行,600016,mín shēnɡ yín háng
日照港,600017,rì zhào ɡǎnɡ
上港集团,600018,shǎnɡ ɡǎnɡ jí qiú
宝钢股份,600019,bǎo ɡānɡ ɡǔ bīn
中原高速,600020,zhōnɡ yuán ɡāo sù
上海电力,600021,shǎnɡ hǎi diàn lì/li
济南钢铁,600022,jǐ nā ɡānɡ tiě
中海发展,600026,zhōnɡ hǎi fā zhǎn
华电国际,600027,huá diàn ɡuó jì
中国石化,600028,zhōnɡ ɡuó dàn huā
南方航空,600029,nā fānɡ hánɡ kōnɡ
中信证券,600030,zhōnɡ shēn zhènɡ quàn
三一重工,600031,sān yī chónɡ ɡōnɡ
福建高速,600033,fú jiàn ɡāo sù
楚天高速,600035,chǔ tiān ɡāo sù
招商银行,600036,qiáo shānɡ yín háng
歌华有线,600037,ɡē huá wěi xiàn
哈飞股份,600038,hā fēi ɡǔ bīn
四川路桥,600039,sì chuān lù qiáo
保利地产,600048,bǎo lì de chǎn
中国联通,600050,zhōnɡ ɡuó lián tōng
宁波联合,600051,nínɡ bēi lián ɡě
浙江广厦,600052,zhè jiānɡ ān shà
中江地产,600053,zhōnɡ jiānɡ de chǎn
黄山旅游,600054,huánɡ shān lǚ liú
万东医疗,600055,mò dōnɡ yī liáo
中国医药,600056,zhōnɡ ɡuó yī yào
五矿发展,600058,wǔ kuànɡ fā zhǎn
古越龙山,600059,ɡǔ huó lónɡ shān
海信电器,600060,hǎi shēn diàn qì
中纺投资,600061,zhōnɡ fǎnɡ dòu zī
双鹤药业,600062,shuānɡ hè yào yè
皖维高新,600063,huàn wéi ɡāo xīn
南京高科,600064,nā jīnɡ ɡāo kē
宇通客车,600066,yǔ tōng kè chē
冠城大通,600067,ɡuān chénɡ dà tōng
葛洲坝,600068,ɡé zhōu bà
银鸽投资,600069,yín ɡē dòu zī
浙江富润,600070,zhè jiānɡ fù rùn
凤凰光学,600071,fènɡ huánɡ ɡuānɡ xué
中船股份,600072,zhōnɡ chuán ɡǔ bīn
上海梅林,600073,shǎnɡ hǎi méi lín
中达股份,600074,zhōnɡ dá ɡǔ bīn
新疆天业,600075,xīn jiānɡ tiān yè
ST华光,600076,S T huá ɡuānɡ
*ST百科,600077,* S T bǎi kē
澄星股份,600078,chénɡ xīng ɡǔ bīn
人福医药,600079,rén fú yī yào
*ST金花,600080,* S T jīn huā
东风科技,600081,dōnɡ fēnɡ kē jì
海泰发展,600082,hǎi tài fā zhǎn
*ST博信,600083,* S T bó shēn
*ST中葡,600084,* S T zhōnɡ bèi
同仁堂,600085,tóng rén tánɡ
